,end,val,accn,fy,fp,form,filed,frame,ticker
176,2014-12-31,174848000000,0001193125-15-020351,2015.0,Q2,10-Q,2015-01-26,CY2014Q4I,MSFT
177,2015-03-31,176683000000,0001193125-15-144151,2015.0,Q3,10-Q,2015-04-23,CY2015Q1I,MSFT
178,2015-06-30,176223000000,0001193125-15-272806,2015.0,FY,10-K,2015-07-31,,MSFT
179,2015-06-30,176223000000,0001193125-15-350718,2016.0,Q1,10-Q,2015-10-22,,MSFT
180,2015-06-30,176223000000,0001193125-15-353706,2015.0,FY,8-K,2015-10-27,,MSFT
181,2015-06-30,176223000000,0001193125-16-441821,2016.0,Q2,10-Q,2016-01-28,,MSFT
182,2015-06-30,176223000000,0001193125-16-550254,2016.0,Q3,10-Q,2016-04-21,,MSFT
183,2015-06-30,174472000000,0001193125-16-662209,2016.0,FY,10-K,2016-07-28,CY2015Q2I,MSFT
184,2015-09-30,172896000000,0001193125-15-350718,2016.0,Q1,10-Q,2015-10-22,CY2015Q3I,MSFT
185,2015-12-31,180098000000,0001193125-16-441821,2016.0,Q2,10-Q,2016-01-28,CY2015Q4I,MSFT
186,2016-03-31,181869000000,0001193125-16-550254,2016.0,Q3,10-Q,2016-04-21,CY2016Q1I,MSFT
187,2016-06-30,193694000000,0001193125-16-662209,2016.0,FY,10-K,2016-07-28,,MSFT
188,2016-06-30,193468000000,0001193125-16-742796,2017.0,Q1,10-Q,2016-10-20,,MSFT
189,2016-06-30,193468000000,0001564590-17-000654,2017.0,Q2,10-Q,2017-01-26,,MSFT
190,2016-06-30,193468000000,0001564590-17-007547,2017.0,Q3,10-Q,2017-04-27,,MSFT
191,2016-06-30,193468000000,0001564590-17-014900,2017.0,FY,10-K,2017-08-02,CY2016Q2I,MSFT
192,2016-09-30,212524000000,0001193125-16-742796,2017.0,Q1,10-Q,2016-10-20,CY2016Q3I,MSFT
193,2016-12-31,224610000000,0001564590-17-000654,2017.0,Q2,10-Q,2017-01-26,CY2016Q4I,MSFT
194,2017-03-31,225017000000,0001564590-17-007547,2017.0,Q3,10-Q,2017-04-27,CY2017Q1I,MSFT
195,2017-06-30,241086000000,0001564590-17-014900,2017.0,FY,10-K,2017-08-02,,MSFT
196,2017-06-30,250312000000,0001564590-17-020171,2018.0,Q1,10-Q,2017-10-26,,MSFT
197,2017-06-30,250312000000,0001564590-18-001129,2018.0,Q2,10-Q,2018-01-31,,MSFT
198,2017-06-30,250312000000,0001564590-18-009307,2018.0,Q3,10-Q,2018-04-26,,MSFT
199,2017-06-30,250312000000,0001564590-18-019062,2018.0,FY,10-K,2018-08-03,CY2017Q2I,MSFT
200,2017-09-30,249097000000,0001564590-17-020171,2018.0,Q1,10-Q,2017-10-26,CY2017Q3I,MSFT
201,2017-12-31,256003000000,0001564590-18-001129,2018.0,Q2,10-Q,2018-01-31,CY2017Q4I,MSFT
